training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9141,0.1160,0.2584,2.3092
0,1,0.9816,0.9902,0.0587,0.0320
1,0,0.9463,0.2993,0.1760,2.9639
1,1,0.9729,0.9802,0.0865,0.0633
1,2,0.9781,0.9846,0.0708,0.0493
2,0,0.9415,0.3386,0.1981,3.4252
2,1,0.9721,0.9797,0.0919,0.0652
2,2,0.9775,0.9865,0.0740,0.0454
3,0,0.9408,0.3784,0.2000,3.2596
3,1,0.9718,0.9790,0.0970,0.0692
3,2,0.9774,0.9846,0.0778,0.0507
4,0,0.9426,0.3942,0.1947,3.4483
4,1,0.9706,0.9795,0.1010,0.0675
4,2,0.9751,0.9838,0.0840,0.0548
