training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8871,0.1160,0.3344,2.3092
0,1,0.9803,0.9866,0.0644,0.0425
0,2,0.9843,0.9927,0.0501,0.0236
1,0,0.9422,0.2846,0.1804,3.0246
1,1,0.9782,0.9862,0.0706,0.0433
2,0,0.9493,0.3274,0.1621,2.6837
2,1,0.9798,0.9881,0.0646,0.0372
2,2,0.9846,0.9924,0.0494,0.0253
3,0,0.9513,0.3807,0.1582,3.0634
3,1,0.9802,0.9870,0.0652,0.0406
3,2,0.9847,0.9920,0.0494,0.0255
4,0,0.9550,0.4017,0.1446,2.3621
4,1,0.9807,0.9896,0.0629,0.0337
