training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8885,0.1160,0.3279,2.3092
0,1,0.9786,0.9890,0.0681,0.0362
0,2,0.9846,0.9922,0.0485,0.0251
1,0,0.9231,0.2771,0.2496,3.0128
1,1,0.9629,0.9810,0.1190,0.0595
2,0,0.9240,0.3703,0.2511,3.1378
2,1,0.9623,0.9832,0.1206,0.0538
2,2,0.9697,0.9871,0.0972,0.0424
3,0,0.9216,0.4042,0.2514,2.4999
3,1,0.9619,0.9829,0.1224,0.0567
3,2,0.9686,0.9873,0.0990,0.0425
4,0,0.9254,0.3681,0.2490,2.1447
4,1,0.9588,0.9818,0.1343,0.0599
