training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8871,0.1160,0.3344,2.3092
0,1,0.9803,0.9866,0.0644,0.0425
0,2,0.9843,0.9927,0.0501,0.0236
1,0,0.9432,0.2846,0.1786,3.0246
1,1,0.9776,0.9863,0.0719,0.0413
1,2,0.9821,0.9909,0.0565,0.0295
2,0,0.9532,0.3507,0.1504,2.8735
2,1,0.9808,0.9888,0.0629,0.0365
3,0,0.9505,0.3927,0.1581,2.7354
3,1,0.9811,0.9890,0.0628,0.0363
3,2,0.9844,0.9920,0.0511,0.0258
